Solution Length,Nodes Expanded,Runtime,Solution
2,3,0.01994609832763672,[24, 6]
2,3,0.02093029022216797,[18, 10]
2,3,0.02493143081665039,[24, 10]
2,3,0.02792525291442871,[6, 16]
2,4,0.041890859603881836,[10, 14]
2,3,0.02293705940246582,[18, 6]
2,3,0.028927087783813477,[18, 16]
2,3,0.025930404663085938,[6, 16]
2,3,0.02393317222595215,[8, 10]
2,3,0.02193617820739746,[20, 8]
2,3,0.021941423416137695,[4, 8]
2,3,0.03488945960998535,[24, 16]
2,3,0.026944637298583984,[20, 8]
2,3,0.026912927627563477,[2, 8]
2,3,0.03290510177612305,[24, 10]
2,3,0.028923988342285156,[14, 14]
2,3,0.027928590774536133,[20, 22]
2,3,0.04188728332519531,[18, 6]
2,4,0.04886746406555176,[14, 10]
2,3,0.026926040649414062,[6, 14]
2,3,0.0299227237701416,[2, 14]
2,3,0.03690171241760254,[6, 10]
2,3,0.027918100357055664,[22, 18]
2,3,0.03291463851928711,[22, 6]
2,3,0.026932477951049805,[22, 14]
2,3,0.022937774658203125,[20, 4]
2,3,0.0249330997467041,[18, 2]
2,3,0.030907154083251953,[2, 16]
2,3,0.02392578125,[8, 16]
2,3,0.019945621490478516,[8, 14]
2,5,0.06283140182495117,[12, 22]
2,3,0.027922630310058594,[22, 4]
2,4,0.034905433654785156,[14, 10]
2,3,0.047870635986328125,[6, 12]
2,3,0.0219423770904541,[24, 8]
2,3,0.03290057182312012,[8, 16]
2,3,0.03790020942687988,[2, 8]
2,3,0.025934219360351562,[20, 12]
2,3,0.019924163818359375,[20, 14]
2,3,0.022938251495361328,[24, 20]
2,3,0.029921293258666992,[4, 4]
2,5,0.04687333106994629,[10, 20]
2,3,0.028913497924804688,[8, 12]
2,3,0.02990436553955078,[22, 20]
2,3,0.02593398094177246,[6, 10]
2,3,0.030922412872314453,[18, 16]
2,3,0.027927875518798828,[6, 16]
2,3,0.03490948677062988,[8, 10]
2,4,0.04886937141418457,[16, 14]
2,3,0.02692437171936035,[24, 6]
2,3,0.02191948890686035,[22, 8]
2,5,0.04488110542297363,[14, 18]
2,3,0.024928808212280273,[20, 22]
2,3,0.025912046432495117,[2, 14]
2,3,0.02493882179260254,[2, 10]
2,3,0.03290414810180664,[6, 12]
2,3,0.025931596755981445,[22, 2]
2,3,0.02892303466796875,[2, 10]
2,3,0.02193903923034668,[2, 10]
2,3,0.022931337356567383,[6, 10]
2,3,0.030913352966308594,[2, 8]
2,3,0.02492976188659668,[22, 8]
2,3,0.021941184997558594,[18, 22]
2,3,0.02792048454284668,[10, 10]
2,3,0.020943164825439453,[8, 16]
2,3,0.03789472579956055,[22, 6]
2,3,0.02293992042541504,[18, 22]
2,3,0.021941423416137695,[16, 16]
2,3,0.024925947189331055,[24, 4]
2,3,0.031897544860839844,[24, 6]
2,3,0.026926517486572266,[6, 4]
2,3,0.026930570602416992,[20, 24]
2,3,0.02991461753845215,[24, 4]
2,3,0.02094435691833496,[18, 4]
2,3,0.03490781784057617,[20, 6]
2,3,0.026915550231933594,[2, 6]
2,4,0.03989219665527344,[10, 14]
2,3,0.025930404663085938,[20, 6]
2,3,0.023909568786621094,[24, 16]
2,3,0.01894831657409668,[20, 6]
2,3,0.027927160263061523,[2, 10]
2,4,0.03690171241760254,[12, 14]
2,3,0.019978761672973633,[18, 12]
2,4,0.03690481185913086,[16, 12]
2,5,0.0408933162689209,[10, 20]
2,3,0.024927377700805664,[4, 2]
2,3,0.02097940444946289,[6, 14]
2,3,0.023935317993164062,[22, 4]
2,4,0.030954599380493164,[16, 14]
2,3,0.02596735954284668,[2, 14]
2,4,0.031913042068481445,[14, 12]
2,3,0.02592635154724121,[20, 14]
2,3,0.02094292640686035,[22, 18]
2,3,0.02992081642150879,[8, 16]
2,3,0.026925086975097656,[4, 6]
2,3,0.02892279624938965,[8, 12]
2,4,0.03390669822692871,[12, 16]
2,4,0.02999281883239746,[16, 10]
2,3,0.026922225952148438,[4, 10]
2,5,0.04687356948852539,[10, 24]
2,3,0.020949602127075195,[22, 10]
2,3,0.031913042068481445,[8, 4]
2,3,0.018984317779541016,[2, 14]
2,3,0.0209958553314209,[4, 14]
2,3,0.021969079971313477,[24, 8]
2,5,0.04092717170715332,[14, 24]
2,3,0.017951488494873047,[20, 8]
2,3,0.020943880081176758,[2, 10]
2,3,0.025977134704589844,[18, 24]
2,3,0.02095508575439453,[18, 18]
2,3,0.03490018844604492,[22, 2]
2,3,0.024968385696411133,[6, 14]
2,3,0.0209810733795166,[18, 2]
2,3,0.02692866325378418,[22, 24]
2,3,0.02297687530517578,[2, 14]
2,3,0.023939847946166992,[8, 12]
2,3,0.020984888076782227,[22, 8]
2,3,0.020952463150024414,[6, 10]
2,3,0.02996087074279785,[12, 12]
2,3,0.022939205169677734,[4, 2]
2,3,0.020949125289916992,[16, 16]
2,3,0.021939754486083984,[4, 16]
2,4,0.030918121337890625,[12, 14]
2,3,0.02991771697998047,[20, 20]
2,3,0.024934768676757812,[24, 4]
2,3,0.02197718620300293,[2, 6]
2,3,0.035898447036743164,[4, 4]
2,3,0.023937463760375977,[4, 2]
2,3,0.019983291625976562,[22, 14]
2,4,0.029912948608398438,[14, 16]
2,3,0.02095770835876465,[18, 6]
2,3,0.021931886672973633,[6, 14]
2,5,0.04390716552734375,[12, 22]
2,5,0.04287409782409668,[16, 22]
2,3,0.03191423416137695,[8, 16]
2,3,0.04089069366455078,[22, 12]
2,3,0.03889632225036621,[20, 10]
2,3,0.02692890167236328,[20, 6]
2,3,0.019945859909057617,[4, 2]
2,5,0.042883872985839844,[12, 18]
2,3,0.0249326229095459,[6, 12]
2,3,0.02693343162536621,[20, 4]
2,3,0.01994633674621582,[22, 20]
2,3,0.02393364906311035,[20, 6]
2,3,0.020967483520507812,[20, 4]
2,5,0.04591250419616699,[10, 20]
2,3,0.03391122817993164,[22, 14]
2,3,0.01894998550415039,[22, 8]
2,3,0.02892327308654785,[22, 22]
2,3,0.026926279067993164,[20, 4]
2,3,0.020943641662597656,[24, 4]
2,3,0.025928020477294922,[24, 4]
2,4,0.03391098976135254,[12, 16]
2,4,0.034908294677734375,[16, 10]
2,3,0.03289198875427246,[20, 8]
2,3,0.01994776725769043,[24, 2]
2,3,0.02493429183959961,[22, 14]
2,3,0.020943880081176758,[22, 12]
2,3,0.021940231323242188,[24, 20]
2,3,0.024939775466918945,[20, 10]
2,3,0.02094268798828125,[20, 12]
2,3,0.028921127319335938,[8, 12]
2,3,0.028928518295288086,[24, 6]
2,3,0.019947052001953125,[24, 16]
2,3,0.01994490623474121,[2, 2]
2,3,0.027926921844482422,[24, 6]
2,3,0.019944190979003906,[18, 18]
2,3,0.04088878631591797,[22, 20]
2,5,0.04143691062927246,[12, 22]
2,3,0.023935794830322266,[20, 12]
2,3,0.0219271183013916,[22, 2]
2,3,0.022933006286621094,[8, 2]
2,3,0.02095174789428711,[24, 2]
2,3,0.022977113723754883,[22, 16]
2,3,0.019982337951660156,[4, 12]
2,3,0.029959917068481445,[4, 4]
2,3,0.02992725372314453,[4, 16]
2,3,0.02393627166748047,[22, 6]
2,3,0.019926786422729492,[24, 2]
2,4,0.03191661834716797,[16, 14]
2,3,0.0269317626953125,[2, 12]
2,3,0.0249330997467041,[20, 24]
2,3,0.01898789405822754,[22, 6]
2,3,0.0309145450592041,[6, 14]
2,4,0.03394436836242676,[16, 12]
2,3,0.019933223724365234,[24, 2]
2,3,0.024931669235229492,[20, 6]
2,3,0.020938634872436523,[20, 20]
2,3,0.026925086975097656,[22, 4]
2,3,0.025928020477294922,[18, 6]
2,3,0.019944429397583008,[24, 16]
2,3,0.01894974708557129,[24, 12]
2,3,0.020945310592651367,[24, 12]
2,3,0.02991485595703125,[24, 10]
2,3,0.022938966751098633,[6, 10]
2,3,0.018944978713989258,[18, 20]
2,4,0.033905029296875,[16, 10]
2,3,0.023930788040161133,[20, 20]
2,4,0.029921293258666992,[12, 14]
2,3,0.030916929244995117,[4, 8]
2,3,0.029918193817138672,[4, 14]
2,3,0.0329129695892334,[4, 10]
2,5,0.04188799858093262,[10, 24]
2,3,0.023934364318847656,[22, 6]
2,3,0.02092266082763672,[6, 14]
2,3,0.027926921844482422,[8, 10]
2,3,0.02593207359313965,[4, 14]
2,3,0.027922868728637695,[8, 14]
2,3,0.0329136848449707,[20, 12]
2,3,0.023938417434692383,[8, 16]
2,3,0.020941972732543945,[24, 12]
2,3,0.022938966751098633,[18, 18]
2,3,0.018987655639648438,[24, 14]
2,3,0.025922298431396484,[6, 10]
2,3,0.02893686294555664,[8, 4]
2,3,0.021943330764770508,[8, 12]
2,3,0.020982742309570312,[2, 6]
2,3,0.021945476531982422,[20, 2]
2,5,0.03394651412963867,[10, 20]
2,4,0.03590226173400879,[10, 16]
2,3,0.0199432373046875,[2, 8]
2,3,0.0219419002532959,[18, 18]
2,3,0.021974563598632812,[2, 12]
2,3,0.019944429397583008,[24, 8]
2,3,0.019947528839111328,[18, 22]
2,3,0.027964115142822266,[22, 10]
2,5,0.041944026947021484,[14, 18]
2,3,0.03391313552856445,[6, 10]
2,3,0.023932933807373047,[6, 16]
2,3,0.020969390869140625,[18, 12]
2,3,0.021914958953857422,[2, 2]
2,3,0.032915353775024414,[22, 2]
2,3,0.02196025848388672,[18, 10]
2,3,0.023940324783325195,[24, 8]
2,3,0.021945476531982422,[2, 14]
2,5,0.0379331111907959,[16, 22]
2,3,0.02593088150024414,[20, 2]
2,3,0.026929616928100586,[24, 22]
2,3,0.02297663688659668,[6, 4]
2,4,0.0329129695892334,[12, 10]
2,5,0.04787325859069824,[12, 22]
2,5,0.04887509346008301,[14, 18]
2,4,0.031948089599609375,[16, 10]
2,3,0.026982784271240234,[2, 12]
2,3,0.027924776077270508,[6, 12]
2,3,0.019982337951660156,[8, 10]
2,5,0.04089999198913574,[12, 24]
2,3,0.02691936492919922,[2, 2]
2,3,0.03292107582092285,[20, 6]
2,3,0.027927398681640625,[22, 8]
2,3,0.022936344146728516,[24, 16]
2,4,0.028907060623168945,[12, 14]
2,3,0.0269467830657959,[18, 12]
2,3,0.022927284240722656,[4, 8]
2,3,0.019944190979003906,[24, 12]
2,3,0.019953012466430664,[14, 14]
2,3,0.02292156219482422,[2, 16]
2,5,0.0398716926574707,[10, 20]
2,3,0.020936250686645508,[4, 14]
2,3,0.031915903091430664,[20, 10]
2,3,0.030915021896362305,[24, 16]
2,3,0.03390669822692871,[20, 12]
2,3,0.04088759422302246,[22, 14]
2,3,0.02991962432861328,[18, 2]
2,3,0.020939350128173828,[18, 8]
2,3,0.025944232940673828,[22, 12]
2,3,0.0299227237701416,[8, 8]
2,3,0.025928020477294922,[22, 16]
2,4,0.03689980506896973,[14, 10]
2,5,0.04088878631591797,[14, 24]
2,3,0.02493119239807129,[8, 2]
2,3,0.02194499969482422,[24, 24]
2,3,0.020941495895385742,[2, 14]
2,3,0.0339045524597168,[20, 18]
2,3,0.03291201591491699,[8, 10]
2,3,0.028911113739013672,[20, 22]
2,5,0.039895057678222656,[14, 18]
2,3,0.017957448959350586,[20, 24]
2,3,0.02895498275756836,[2, 14]
2,3,0.018988847732543945,[4, 6]
2,3,0.13962674140930176,[22, 24]
2,3,0.02293992042541504,[4, 16]
2,3,0.021928071975708008,[6, 12]
2,5,0.049866437911987305,[10, 20]
2,3,0.02892303466796875,[20, 6]
2,3,0.019946813583374023,[6, 8]
2,3,0.0329747200012207,[24, 16]
2,3,0.029926300048828125,[6, 14]
2,3,0.02593684196472168,[24, 14]
2,3,0.01893782615661621,[16, 16]
2,3,0.026915788650512695,[6, 4]
2,3,0.018949031829833984,[22, 2]
2,5,0.04388260841369629,[16, 18]
2,3,0.029907703399658203,[18, 2]
2,3,0.018946409225463867,[18, 2]
2,3,0.02193450927734375,[14, 14]
2,3,0.032910823822021484,[24, 10]
2,3,0.01994490623474121,[24, 22]
2,4,0.02991962432861328,[16, 10]
2,3,0.02692890167236328,[4, 8]
2,3,0.020943641662597656,[20, 22]
2,5,0.045874595642089844,[14, 20]
2,3,0.019896745681762695,[18, 22]
2,3,0.02094292640686035,[6, 14]
2,3,0.01894974708557129,[4, 2]
2,3,0.020922183990478516,[8, 2]
2,3,0.03291201591491699,[18, 6]
2,3,0.024933815002441406,[18, 6]
2,3,0.02593255043029785,[4, 16]
2,3,0.020940303802490234,[8, 8]
2,3,0.0199432373046875,[8, 2]
2,3,0.021958112716674805,[2, 8]
2,3,0.02496790885925293,[22, 4]
2,3,0.026932239532470703,[6, 2]
2,3,0.020941495895385742,[22, 8]
2,3,0.023974180221557617,[6, 16]
2,3,0.023931503295898438,[22, 14]
2,3,0.023972749710083008,[18, 6]
2,3,0.03790116310119629,[20, 12]
2,3,0.03294825553894043,[6, 12]
2,3,0.02393317222595215,[6, 10]
2,3,0.020938396453857422,[20, 12]
2,4,0.0349423885345459,[14, 10]
2,4,0.032949209213256836,[16, 14]
2,3,0.02393651008605957,[24, 14]
2,3,0.028923749923706055,[20, 8]
2,3,0.026889324188232422,[6, 14]
2,3,0.019985675811767578,[8, 8]
2,3,0.02891826629638672,[22, 4]
2,4,0.03191518783569336,[12, 16]
2,3,0.01795196533203125,[18, 24]
2,3,0.027927637100219727,[16, 16]
2,3,0.027927160263061523,[6, 16]
2,3,0.025927305221557617,[18, 14]
2,5,0.04088854789733887,[14, 24]
2,3,0.020905733108520508,[8, 4]
2,3,0.026929378509521484,[8, 12]
2,3,0.03494453430175781,[20, 16]
2,4,0.032906293869018555,[10, 14]
2,5,0.03991866111755371,[16, 18]
2,4,0.03390789031982422,[12, 16]
2,3,0.020965576171875,[18, 6]
2,3,0.024935007095336914,[22, 20]
2,5,0.046875715255737305,[12, 22]
2,3,0.027901649475097656,[22, 24]
2,3,0.0269315242767334,[24, 24]
